Название вакансии,Компания,Зарплата,Регион,Дата публикации,Опыт работы,Тип занятости,URL,Требуемые технологии
Python Developer (Middle+),ЗАОВодород,Не указана,Минск,23.04.2025,Опыт 3-6 лет,гибрид,https://rabota.by/vacancy/119876320?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,airflow; apache; django; docker; fastapi; git; kafka; linux; nginx; oracle; postgresql; python; rabbitmq; redis
Программист 1С,ОООЕВРОФОРД,"от5 000Brза месяц,на руки","Минск, микрорайон Новинки, улица Автомобилистов, 6А",22.04.2025,Опыт 3-6 лет,Не указано,https://rabota.by/vacancy/119810600?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,Не указано
ServiceNow developer,"А1. Информационные технологии, телеком",Не указана,Минск,22.04.2025,Не указано,Не указано,https://rabota.by/vacancy/114830491?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,Не указано
.Net Developer (Программист ASP.Net),"ИНТЕРКАРС ЕВРОПА, СООО",Не указана,Минск,21.04.2025,Опыт 3-6 лет,удалённо,https://rabota.by/vacancy/119757271?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,css; jquery; react
Senior Tibco Developer (Integration),"А1. Информационные технологии, телеком",Не указана,Минск,22.04.2025,Опыт 3-6 лет,гибрид,https://rabota.by/vacancy/117568643?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,Не указано
Middle Business Development Representative,Itransition,Не указана,Минск,22.04.2025,Не указано,на месте работодателя,https://rabota.by/vacancy/119829678?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,Не указано
Ведущий инженер-программист,ОООУправляющая компания холдинга Белорусская кожевенно-обувная компания Марко,Не указана,Витебск,17.04.2025,Опыт 3-6 лет,на месте работодателя,https://rabota.by/vacancy/119640313?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,Не указано
C#/.NET-разработчик,KAPITAN,Не указана,Минск,17.04.2025,Опыт 3-6 лет,на месте работодателя,https://rabota.by/vacancy/117586156?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,c; ms sql; xamarin
Middle C# разработчик,ОООСпортдата,Не указана,Минск,17.04.2025,Не указано,Не указано,https://rabota.by/vacancy/118976601?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,c; git; jira
Системный аналитик,ОООАйТи Лайт,Не указана,Минск,23.04.2025,Не указано,на месте работодателя или гибрид,https://hh.ru/vacancy/119865511?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,Не указано
SEO-специалист (Senior),ОООАльтер Эго Маркетинг,"3 500 – 5 000Brза месяц,до вычета налогов","Минск, Домбровская улица, 9",23.04.2025,Не указано,на месте работодателя,https://rabota.by/vacancy/118267027?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,bitrix; css; google analytics; html; javascript; seo
SEO-специалист,ОООАльтер Эго Маркетинг,"2 000 – 3 000Brза месяц,на руки","Минск, Домбровская улица, 9",21.04.2025,Не указано,на месте работодателя,https://rabota.by/vacancy/119780732?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,css; google analytics; html; javascript; seo
Бизнес-аналитик,ОООУправляющая компания холдинга Белорусская кожевенно-обувная компания Марко,Не указана,Витебск,17.04.2025,Опыт 3-6 лет,на месте работодателя,https://rabota.by/vacancy/119640276?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,Не указано
Программист lsFusion,НТ ООО ЛюксСофт,Не указана,Минск,23.04.2025,Не указано,"на месте работодателя, удалённо или гибрид",https://rabota.by/vacancy/119645541?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,java; python
Ведущий инженер-программист,"Национальный центр электронных услуг, РУП","от3 400Brза месяц,на руки",Минск,23.04.2025,Опыт 3-6 лет,Не указано,https://rabota.by/vacancy/116177406?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,java; java \d+; kafka; kubernetes; rest; spring; spring boot
Техник-программист,УПАйТи Перфоманс,Не указана,"Минск, улица Мележа, 5к2",23.04.2025,Не указано,разъездной,https://rabota.by/vacancy/119064054?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,linux; macos; unix; virtualbox; vmware; vpn
Программист-разработчик,ОООЭрком Групп,Не указана,Минск,23.04.2025,Не указано,Не указано,https://rabota.by/vacancy/119857314?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,apache; css; docker; git; html; jquery; laravel; linux; nginx; php; php \d+.\d+
Ведущий программист 1С,ОАОБерестейский пекарь,"от2 500Brза месяц,на руки","Брест, улица Писателя Смирнова, 100",23.04.2025,Опыт 3-6 лет,на месте работодателя,https://rabota.by/vacancy/118565962?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,Не указано
Программист 1С,ОДОЮКОЛА-ИНФО-Брест,Не указана,Минск,23.04.2025,Не указано,"на месте работодателя, удалённо или гибрид",https://rabota.by/vacancy/119879247?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,Не указано
Программист 1C,ОООЭлектронная экономика,Не указана,Минск,23.04.2025,Опыт 3-6 лет,"на месте работодателя, удалённо или гибрид",https://rabota.by/vacancy/115093075?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,1c; agile; bitrix24; ci/cd; confluence; datareon; datareon platform; jira; kanban; plm; scrum; slack; t-flex; t-flex plm
Python Developer (Middle+),ЗАОВодород,Не указана,Минск,23.04.2025,Опыт 3-6 лет,гибрид,https://rabota.by/vacancy/119876320?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list,airflow; apache; django; docker; fastapi; git; kafka; linux; nginx; oracle; postgresql; python; rabbitmq; redis
